,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
80,280431357,waouo,Waouo,2011-04-11 09:31:40+00:00,,5,0,3931,http://pbs.twimg.com/profile_images/1307723813/logotwitte_normal.png,,
95,229582959,picabomb,picabomb,2010-12-22 19:43:02+00:00,,282,445,24229,http://pbs.twimg.com/profile_images/1766760143/bomb-queen-2_1440_normal.jpg,,
637,40471060,tgcaptions,tgcaptions,2009-05-16 14:23:36+00:00,"London, UK",1269,108,6698,http://pbs.twimg.com/profile_images/214553657/tgcaps_normal.jpg,,
687,15573141,twit_ab,twit_ab,2008-07-23 21:55:48+00:00,,97,35,9505,http://pbs.twimg.com/profile_images/57132492/abhi2_normal.JPG,,
688,150883443,mizoz0,Mizozo.com,2010-06-02 02:12:46+00:00,,165,99,9125,http://pbs.twimg.com/profile_images/706524601329778689/7hp3IrqK_normal.jpg,https://pbs.twimg.com/profile_banners/150883443/1457283545,
725,740428092,samirns786,Indian Actress 1,2012-08-06 11:38:14+00:00,,147,8,693,http://pbs.twimg.com/profile_images/2474525797/z3n2l14tn33tmljuccjq_normal.jpeg,,
793,260074054,NymeraCatz,Nymera Amarylliis,2011-03-03 04:23:19+00:00,;),34,289,2932,http://pbs.twimg.com/profile_images/2015177241/P1110046_normal.JPG,,
2072,891476336,nKai_global,nKai,2012-10-19 17:48:59+00:00,Vía Láctea,121,911,470,http://pbs.twimg.com/profile_images/2758083188/985db00b29f9d0d61ac64206a7f4ca74_normal.png,,
2103,514605588,MonsieurPik,Monsieur Pic,2012-03-04 18:16:01+00:00,,43,114,17172,http://pbs.twimg.com/profile_images/1872757018/james-metallica-10852590-340-533_normal.jpg,,
2111,330863695,Sportgirlies,Sportgirlies.com,2011-07-07 08:23:28+00:00,World,304,1721,29382,http://pbs.twimg.com/profile_images/1430786756/SG_normal.png,,
2145,217812462,diarysnews,diarys,2010-11-20 16:13:29+00:00,US,424,118,84264,http://pbs.twimg.com/profile_images/1171557253/diarys_normal.jpg,,
2160,96432283,GipGossip,GossipQueen,2009-12-12 22:32:55+00:00,Los Angeles ,721,180,91246,http://pbs.twimg.com/profile_images/571720670/g3_normal.jpg,,
2161,214194849,ohnotheydidnt,OH NO THEY DIDN'T,2010-11-10 20:17:51+00:00,,20425,114,204191,http://pbs.twimg.com/profile_images/1323562578912681984/VqttSliK_normal.jpg,https://pbs.twimg.com/profile_banners/214194849/1604396947,
2170,114722020,softblogit,softblog,2010-02-16 11:45:55+00:00,,205,0,3634,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
2176,37677743,QNMit,QNM,2009-05-04 15:06:05+00:00,,619,12,16687,http://pbs.twimg.com/profile_images/664115026203156481/BE5wL3sj_normal.jpg,,
2184,17848991,josh_c_williams,Josh Williams,2008-12-03 21:10:26+00:00,,333,1184,15732,http://pbs.twimg.com/profile_images/568983797321203712/K5qhFMF2_normal.jpeg,https://pbs.twimg.com/profile_banners/17848991/1446757153,
2215,108438065,christinebirdy,Christine James,2010-01-25 23:18:47+00:00,USA,103,154,7771,http://pbs.twimg.com/profile_images/3336672232/c5afb9dbd963a5792e97e9abb3ab4050_normal.jpeg,,
2217,603716639,HotNewSwag,HotNewSwag,2012-06-09 16:01:43+00:00,,1217,1163,9339,http://pbs.twimg.com/profile_images/2671941128/c9cf78378c0979343db9e9a44d50e005_normal.png,https://pbs.twimg.com/profile_banners/603716639/1349795271,
2227,260656636,SallyFeed,Sally,2011-03-04 09:31:19+00:00,Where the Internet Begins,360,2,35184,http://pbs.twimg.com/profile_images/2365924221/xio84g7tfm49mxfif7xk_normal.jpeg,,
2237,15934221,Dreamingofawolf,Amy Meechan,2008-08-21 17:42:29+00:00,"England, United Kingdom",96,916,20851,http://pbs.twimg.com/profile_images/833565263303962624/rgVpUm7g_normal.jpg,,
2240,14801957,skottichan,Lucifer,2008-05-16 18:05:56+00:00,Better parts of Hell,775,1800,11908,http://pbs.twimg.com/profile_images/1424375788242153480/J3MH6BGd_normal.jpg,https://pbs.twimg.com/profile_banners/14801957/1564108331,
2247,536437697,centuryblack9,Century Black,2012-03-25 16:17:36+00:00,India,96,258,1743,http://pbs.twimg.com/profile_images/467977772493582336/3KKpHEfb_normal.jpeg,https://pbs.twimg.com/profile_banners/536437697/1400409521,
2253,193689223,senorelzorro,Senor Zorro,2010-09-22 13:16:18+00:00,United States,100,515,5679,http://pbs.twimg.com/profile_images/1128865082/zoric_normal.png,,
2295,86378115,metalneck1979,Corey L. Jackson,2009-10-30 19:19:09+00:00,"Dallas, Texas",194,3185,69491,http://pbs.twimg.com/profile_images/2201808022/391070_315717638456252_100000540568357_1220638_2031200535_n_normal.jpg,https://pbs.twimg.com/profile_banners/86378115/1643984207,
2313,440776167,rush344u,rush344u,2011-12-19 11:59:49+00:00,,222,1153,56498,http://pbs.twimg.com/profile_images/1809024567/392177_199712153449630_119684938119019_403297_1007654157_n_normal.jpg,https://pbs.twimg.com/profile_banners/440776167/1380719226,
2316,508781991,CleavageL,Cleavage Lover,2012-02-29 12:07:32+00:00,,309,18,22500,http://pbs.twimg.com/profile_images/1864365874/Schermata-2010-09-24-a-15.42.11_normal.png,,
2321,542854724,celebnews1456,100% Celeb News 24/7,2012-04-01 21:11:48+00:00,,4789,2036,482568,http://pbs.twimg.com/profile_images/2012778243/images_normal.jpg,,
2325,455314651,BigBossLinks,BigBossLinks,2012-01-05 00:00:53+00:00,,79,250,34414,http://pbs.twimg.com/profile_images/1766093228/mypictr_Twitter_normal.gif,,
2528,486547568,staflateks,staf sleeckx,2012-02-08 12:09:32+00:00,Europ,224,170,22139,http://pbs.twimg.com/profile_images/1812895423/316503_318965191454370_224998407517716_1542232_2002665236_n_normal.jpeg,,
2540,756973098,problem53disuse,problem53disuse,2012-08-14 11:23:27+00:00,,0,0,296,http://pbs.twimg.com/profile_images/2503157475/f137bc15305b3fc009e92cd858d20272_normal.jpg,,
2565,886859138,ragamuffin66fli,ragamuffin66fli,2012-10-17 13:46:41+00:00,,0,0,18,http://pbs.twimg.com/profile_images/2729303599/ce613c2db3be814d1a9a26323b241ce1_normal.jpeg,,
2610,731275267,SlaughterEddie,Eddie Slaughter,2012-08-01 19:13:48+00:00,,163,169,4521,http://pbs.twimg.com/profile_images/2639858008/1cbf6eacafbe2dfd0fa3dbf06eea608d_normal.jpeg,,
