,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
2301,1064169120,feliz_barbie,★♡ SeXy BaRbieE ★♡,2013-01-05 22:38:26+00:00,,494,185,809059,http://pbs.twimg.com/profile_images/416986060032200704/TSksCYd9_normal.jpeg,https://pbs.twimg.com/profile_banners/1064169120/1388252655,
2304,1157751499,noticiasEspania,Daily España,2013-02-07 17:20:24+00:00,España,9970,8947,696209,http://pbs.twimg.com/profile_images/531455873030160384/XLhdsOa8_normal.jpeg,https://pbs.twimg.com/profile_banners/1157751499/1392230792,
2308,324917467,GenteLV,Gente,2011-06-27 12:44:54+00:00,,3854,124,21458,http://pbs.twimg.com/profile_images/463603757456977920/Ig36CNV2_normal.jpeg,https://pbs.twimg.com/profile_banners/324917467/1399366734,
2311,355399385,AlMinutoLV,AlMinutoLV,2011-08-15 08:55:16+00:00,Barcelona ,4626,7,101789,http://pbs.twimg.com/profile_images/1857452813/alminuto_128x128_normal.png,,
2349,538155200,SpainNoticias,Últimas Noticias,2012-03-27 13:22:32+00:00,España,2876,248,414360,http://pbs.twimg.com/profile_images/1969482237/Typewriter_Writing_Writer_238822_l_normal.jpg,,
2781,632512891,JuanCasilla_,Juan casilla,2012-07-11 02:34:04+00:00, ~'Ɛℓℓa & ¥σ '~мøzαriisŧα ✌ $$,3598,2241,168128,http://pbs.twimg.com/profile_images/1303176565526847488/LxQQq7Ca_normal.jpg,,
2785,1467817886,fotos365,Fotos365,2013-05-29 17:26:49+00:00,,1354,1089,878437,http://pbs.twimg.com/profile_images/1087075933884956672/m5r9KIlS_normal.jpg,https://pbs.twimg.com/profile_banners/1467817886/1548013820,
2854,1530991446,JeffreyMVP_,#JєffяєyElMσzαяiƨtα™,2013-06-19 14:31:10+00:00,"Manhattan, NY",10297,5914,111739,http://pbs.twimg.com/profile_images/687810123448889344/bdx_fkOd_normal.jpg,https://pbs.twimg.com/profile_banners/1530991446/1440951242,
2856,1386019490,HervsDavid,David Ramírez Hervás,2013-04-28 03:32:54+00:00,,75,104,13685,http://pbs.twimg.com/profile_images/499786412900630528/wTxqkrfq_normal.jpeg,https://pbs.twimg.com/profile_banners/1386019490/1407993356,
3327,17553681,Mosqueando,Mosqueando,2008-11-22 06:00:20+00:00,Spain,417,543,408751,http://pbs.twimg.com/profile_images/65214674/Foto-Mosqueando_normal.jpg,,
