,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
4012,4141890079,jessicacheck,JessicaCHeck,2015-11-06 03:28:53+00:00,,331,1489,17314,http://pbs.twimg.com/profile_images/662471867639316481/zEMjDLPg_normal.jpg,https://pbs.twimg.com/profile_banners/4141890079/1446780638,
4018,4130763492,cheryl_riffle,CherylJRiffle,2015-11-05 03:36:49+00:00,,330,1472,17366,http://pbs.twimg.com/profile_images/662111498592882688/QVqjMqoB_normal.jpg,https://pbs.twimg.com/profile_banners/4130763492/1446694743,
4032,4176621432,picard_enid,EnidAPicard,2015-11-09 07:07:55+00:00,,351,1488,17339,http://pbs.twimg.com/profile_images/663614123133894656/yB11QVm3_normal.jpg,https://pbs.twimg.com/profile_banners/4176621432/1447052967,
4037,4134990853,elisabethscham3,ElisabethSChambers,2015-11-05 12:30:28+00:00,,335,1475,17362,http://pbs.twimg.com/profile_images/662245848579878913/FgEFClAH_normal.jpg,https://pbs.twimg.com/profile_banners/4134990853/1446726746,
4056,4037210357,MaryTosya,Mary Chandter,2015-10-25 07:05:25+00:00,,749,3109,10577,http://pbs.twimg.com/profile_images/677803483064459266/_5FyYGJu_normal.jpg,https://pbs.twimg.com/profile_banners/4037210357/1450435871,
4066,3778514314,malabbime1985,Christine Clifford,2015-09-26 04:57:59+00:00,,307,2308,13874,http://pbs.twimg.com/profile_images/647636928272056320/RDddmDmT_normal.jpg,https://pbs.twimg.com/profile_banners/3778514314/1443245974,
4069,3511927342,reeharahoc1982,Peggy Carroll,2015-09-01 11:09:31+00:00,,1528,4406,31287,http://pbs.twimg.com/profile_images/638670956559396864/seAzfL4S_normal.jpg,https://pbs.twimg.com/profile_banners/3511927342/1441106728,
4075,3506596637,bselwincati1973,Louise Wesley,2015-08-31 23:23:19+00:00,,1089,4235,31523,http://pbs.twimg.com/profile_images/638492792616947712/I_zgnZX0_normal.jpg,https://pbs.twimg.com/profile_banners/3506596637/1441064246,
4095,4037691016,94Karzaeva,Lorraine Aldridge,2015-10-25 08:28:54+00:00,,149,825,1185,http://pbs.twimg.com/profile_images/677803585288069120/m8EtvMl4_normal.jpg,https://pbs.twimg.com/profile_banners/4037691016/1450435908,
4097,4042107094,CarlyGleb,Carly Goldman,2015-10-25 22:43:49+00:00,,105,728,1163,http://pbs.twimg.com/profile_images/658414313397493760/-dSaaoQU_normal.jpg,https://pbs.twimg.com/profile_banners/4042107094/1450435904,
4101,4037430725,AnnaFedya,Anna Conors,2015-10-25 07:49:50+00:00,,515,2944,10568,http://pbs.twimg.com/profile_images/677803543101747200/Hmywz42N_normal.jpg,https://pbs.twimg.com/profile_banners/4037430725/1450435893,
4123,4130652314,russellmromero,RussellMRomero,2015-11-05 03:12:52+00:00,,288,1423,17403,http://pbs.twimg.com/profile_images/662105521437052928/uKdKfN1c_normal.jpg,https://pbs.twimg.com/profile_banners/4130652314/1446693278,
4129,4125748332,jenniferjreddi6,JenniferJRedding,2015-11-04 16:43:47+00:00,,331,1478,17410,http://pbs.twimg.com/profile_images/661947217016569856/K-pckt7j_normal.jpg,https://pbs.twimg.com/profile_banners/4125748332/1446655535,
