,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
271,1429890756,robertiiinoo,Frydensal 🌱,2013-05-15 08:29:56+00:00,"Norway, Drammen/Oslo. ",2747,2863,32051,http://pbs.twimg.com/profile_images/833049991665090562/wmG_TbCD_normal.jpg,https://pbs.twimg.com/profile_banners/1429890756/1554587655,
286,4300572983,WEP_NI,WEP Northern Ireland,2015-11-27 22:13:54+00:00,Northern Ireland,551,555,1537,http://pbs.twimg.com/profile_images/670365821550620672/bw4Sc9p6_normal.jpg,https://pbs.twimg.com/profile_banners/4300572983/1470611961,
319,58796971,NWCI,Womenscouncilireland,2009-07-21 13:39:39+00:00,"Dublin, Ireland",42606,7013,60286,http://pbs.twimg.com/profile_images/1285478414212890625/DhmWrePG_normal.jpg,https://pbs.twimg.com/profile_banners/58796971/1616147037,
600,18871906,nicoq,nicoq,2009-01-11 16:53:19+00:00,"New York, USA",1267,3331,60192,http://pbs.twimg.com/profile_images/77964246/jen-may-nicole-quinn_normal.jpg,https://pbs.twimg.com/profile_banners/18871906/1618491098,
630,7956302,JaneEMCallaghan,Jane Callaghan 🌈 🏴󠁧󠁢󠁳󠁣󠁴󠁿🐶🐱🥾🧶,2007-08-04 15:55:19+00:00,"Scotland, United Kingdom",10800,8652,62341,http://pbs.twimg.com/profile_images/1520326029377773568/5H6EKxGw_normal.jpg,https://pbs.twimg.com/profile_banners/7956302/1651308946,
649,875304204587413505,GossipWorldUK,Gossip World,2017-06-15 10:49:19+00:00,United Kingdom,146,63,221,http://pbs.twimg.com/profile_images/875305396516343808/0UREptBx_normal.jpg,https://pbs.twimg.com/profile_banners/875304204587413505/1497524053,
660,506221881,cloeystarr,Cloey Starr,2012-02-27 18:34:11+00:00,Nomad,118,195,3401,http://pbs.twimg.com/profile_images/1523311568863186944/JWtD-VSD_normal.jpg,https://pbs.twimg.com/profile_banners/506221881/1647303235,
738,1386007626,AliceJRStride,Alice Stride,2013-04-28 03:39:01+00:00,"London, England",1218,996,7921,http://pbs.twimg.com/profile_images/1354841641069260802/biieNltl_normal.jpg,https://pbs.twimg.com/profile_banners/1386007626/1444142105,
870,164250795,SocialCommerceT,Social Commerce,2010-07-08 12:09:34+00:00,"England, UK",1149,557,46927,http://pbs.twimg.com/profile_images/1061229061/businesswoman-showing-xml-structure_normal.jpg,https://pbs.twimg.com/profile_banners/164250795/1519247559,
883,556810514,rosaleilani,Carrie Phyliky Rimes💙✡📚💻🌎🌌🇺🇲,2012-04-18 12:11:35+00:00,"Ashland, Oregon",978,4997,81580,http://pbs.twimg.com/profile_images/1458484088331857921/ZctOqgSG_normal.jpg,,
953,2967752962,cintarosemary_,SmokahontAss,2015-01-08 12:40:09+00:00,,36,187,1198,http://pbs.twimg.com/profile_images/1411223435771060224/x6cKsOi0_normal.jpg,https://pbs.twimg.com/profile_banners/2967752962/1473720158,
986,389758467,ryanmurphy39,ryan murphy,2011-10-12 23:20:27+00:00,"lemoore, ca",7,7,9365,http://pbs.twimg.com/profile_images/1585691151/haters_normal.jpg,,
1004,262361355,fpsElaine,Elaine Howard,2011-03-07 22:23:17+00:00,"Manchester, UK",931,892,6886,http://pbs.twimg.com/profile_images/1515689200/EH_online_photo_attempts_004_normal.JPG,,
1017,4495974372,KudsiaC,Kudsia+Co,2015-12-08 11:07:35+00:00,Malaysia,161,132,3230,http://pbs.twimg.com/profile_images/1201454598554185729/PY3-TUuh_normal.jpg,https://pbs.twimg.com/profile_banners/4495974372/1575284074,
1029,39351648,consciouschools,Helen Pengelly,2009-05-11 21:50:12+00:00,West Sussex and The World,1329,545,5496,http://pbs.twimg.com/profile_images/1117450603335122944/c5YUMvkR_normal.png,https://pbs.twimg.com/profile_banners/39351648/1588164512,
1041,285636756,HelpforBear,🌻🇺🇦C. R.🇺🇦🌻,2011-04-21 14:28:37+00:00,Illinois,6600,2881,303836,http://pbs.twimg.com/profile_images/425111045066072064/xfnvGXOQ_normal.jpeg,https://pbs.twimg.com/profile_banners/285636756/1492084134,
1062,3297756468,NWH_DVSA,DV/SA Program at NWH,2015-07-27 14:12:04+00:00,"Newton, MA",548,837,8745,http://pbs.twimg.com/profile_images/685179708439412736/SB5BNgWY_normal.jpg,https://pbs.twimg.com/profile_banners/3297756468/1438006913,
1181,807453401034260481,FeliziaAng,Felizia Ang,2016-12-10 05:14:27+00:00,United States,783,4006,10316,http://pbs.twimg.com/profile_images/807454554727952384/E9pzsXfE_normal.jpg,,
1184,56246250,blacq2,blacq,2009-07-13 01:18:16+00:00,United States,19249,6382,338532,http://pbs.twimg.com/profile_images/658471339678806016/tyRNSp6H_normal.jpg,https://pbs.twimg.com/profile_banners/56246250/1481407129,
1960,757250499787751424,JohnApp63499667,John Applegate,2016-07-24 16:26:02+00:00,"Philadelphia, PA",11430,11170,644401,http://pbs.twimg.com/profile_images/757337430185873408/PRAu7R5D_normal.jpg,,
