,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
192,2856162471,GossipRxNews,GossipRx,2014-11-02 05:21:11+00:00,"Los Angeles, CA",1648,1,25771,http://pbs.twimg.com/profile_images/1216373537520390144/CcE7wzoC_normal.png,https://pbs.twimg.com/profile_banners/2856162471/1533373104,
1100,2816882514,aheardonline,Amber Heard Online,2014-09-18 12:05:10+00:00,France,1667,239,2524,http://pbs.twimg.com/profile_images/1151152023439663104/lA1AM2VN_normal.png,https://pbs.twimg.com/profile_banners/2816882514/1559473301,
1207,398502593,Iamdave_dc,Dave 🦅,2011-10-26 04:35:24+00:00,"Lagos, Nigeria",2239,2253,30485,http://pbs.twimg.com/profile_images/1349203638250561540/lJ4GRxQz_normal.jpg,https://pbs.twimg.com/profile_banners/398502593/1641673786,
1208,212042050,IAMHALBEE,NOBODYHOLYPASS,2010-11-04 23:55:52+00:00,Old Trafford ,1253,1041,20110,http://pbs.twimg.com/profile_images/1329300316362313728/3ToudRbA_normal.jpg,https://pbs.twimg.com/profile_banners/212042050/1644123295,
1209,733347132,TheAyoPedro,Ayotunde 𓃵 👨‍💻📱🔌,2012-08-02 18:49:45+00:00,Localhost:3000,7752,7486,113500,http://pbs.twimg.com/profile_images/1462020035262795776/ZcUKkWqQ_normal.jpg,https://pbs.twimg.com/profile_banners/733347132/1637088133,
1210,202138743,officialbiebey,💡Abeeb Rotimi Bello,2010-10-13 11:40:23+00:00,,169,561,24684,http://pbs.twimg.com/profile_images/1430057789259350020/6mu-Sfn4_normal.jpg,https://pbs.twimg.com/profile_banners/202138743/1602290836,
1247,84611533,sollyez,Calon Kades,2009-10-23 15:03:32+00:00,Indonesia,425,380,1510181,http://pbs.twimg.com/profile_images/1274749739028774912/8Hbj3qnZ_normal.jpg,https://pbs.twimg.com/profile_banners/84611533/1536942350,
1263,581644008,VIVAlife_,VIVAlife,2012-05-16 05:56:51+00:00,Jakarta,67222,9,219357,http://pbs.twimg.com/profile_images/1359744372665815041/IfA51h_6_normal.jpg,https://pbs.twimg.com/profile_banners/581644008/1519292756,
1269,945348440,sun_kennedy,#Endsars,2012-11-13 07:31:32+00:00,nigeria,48,343,760,http://pbs.twimg.com/profile_images/1318652606584147969/vWSIkOGg_normal.jpg,https://pbs.twimg.com/profile_banners/945348440/1585249854,
1285,770903162,AAUAAMEBO,#EndASUUStrike,2012-08-21 05:42:34+00:00,"Akungba, Nigeria",9783,3097,101742,http://pbs.twimg.com/profile_images/771980109939142656/RG_G1TME_normal.jpg,https://pbs.twimg.com/profile_banners/770903162/1423388108,
1298,4243785322,informnaijablog,Your Crush,2015-11-21 17:47:07+00:00,"Lagos, Nigeria",1079,281,98939,http://pbs.twimg.com/profile_images/922116170664333313/l0FGnBHY_normal.jpg,https://pbs.twimg.com/profile_banners/4243785322/1508684552,
1301,889257333179764741,Ritaextra1,Rita,2017-07-23 22:54:04+00:00,Nigeria,35,106,2107,http://pbs.twimg.com/profile_images/1072173671291199490/bJ-lErSR_normal.jpg,,
1302,125324383,kabarberita,Top Stories,2010-03-22 12:58:56+00:00,South-East Asia,2515,103,1170644,http://pbs.twimg.com/profile_images/1496838853/download_normal.jpg,,
1319,2943160362,anita_winarti,anita.wina,2014-12-25 21:08:20+00:00,,954,3123,16130,http://pbs.twimg.com/profile_images/865035928988925956/EOLLBBcD_normal.jpg,,
1323,1261610970,msnph,MSN Philippines,2013-03-12 10:10:57+00:00,"Manila, Philippines",2829,62,163908,http://pbs.twimg.com/profile_images/570878604599234560/SOoH_9Ls_normal.png,https://pbs.twimg.com/profile_banners/1261610970/1529553654,
1397,3196089602,MSN_Singapore,MSN Singapore,2015-05-15 08:18:26+00:00,,390,19,67014,http://pbs.twimg.com/profile_images/602701463417032706/jbu8jvht_normal.png,https://pbs.twimg.com/profile_banners/3196089602/1442286354,
1417,854619571550081028,qtelegram1,ian fonseka,2017-04-19 08:55:58+00:00,"Québec, Canada",9,1,2310,http://pbs.twimg.com/profile_images/854620269650087936/TuKxr_9g_normal.jpg,,
1450,2789586223,Coconuts_Bali,Coconuts Bali,2014-09-04 10:42:21+00:00,Bali,2839,462,8019,http://pbs.twimg.com/profile_images/839767872339484672/J_BAKiX6_normal.jpg,https://pbs.twimg.com/profile_banners/2789586223/1470382772,
1468,2172449797,Akmediaconcept,Akmediaconcept Official,2013-11-03 16:44:32+00:00,Nigeria,666,1583,21683,http://pbs.twimg.com/profile_images/1508401852899020810/h7UbWWIT_normal.jpg,https://pbs.twimg.com/profile_banners/2172449797/1648466000,
1469,413248957,djbenny042,Dj benny,2011-11-15 17:14:32+00:00,"ENUGU,NIGERIA",128,355,1636,http://pbs.twimg.com/profile_images/1374306863160958976/SWQ8VBqB_normal.jpg,https://pbs.twimg.com/profile_banners/413248957/1616495295,
1470,1038988088,TheCityCeleb_PR,TheCityCeleb Promotion,2012-12-27 06:39:39+00:00,Worldwide,830,177,39976,http://pbs.twimg.com/profile_images/1319233801529196551/QflIOstY_normal.jpg,https://pbs.twimg.com/profile_banners/1038988088/1604047760,
1748,3527456426,Gifted_steve,Gistsvilla.com,2015-09-11 14:16:55+00:00,"Warangal, Hamamkonda, India",177,113,55323,http://pbs.twimg.com/profile_images/864031492539691008/RFWW8NN9_normal.jpg,https://pbs.twimg.com/profile_banners/3527456426/1494834864,
