,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
320,2408660791,ladyofaconitum,Bella🇵🇭 #RestoreTheSnyderVerse,2014-03-24 09:09:05+00:00,Under The Sea,571,860,12495,http://pbs.twimg.com/profile_images/1378522137447653377/GJ2w6EA-_normal.jpg,https://pbs.twimg.com/profile_banners/2408660791/1612607001,
356,770329409081532416,AG23279442,AG アーメダバード,2016-08-29 18:36:57+00:00,"Delhi,Grugaon,Ahmedabad,Bhopal",2862,2803,24099,http://pbs.twimg.com/profile_images/1005383003676147714/n9fwt4Vj_normal.jpg,https://pbs.twimg.com/profile_banners/770329409081532416/1528537292,
374,14142921,rhotwire,rhotwire,2008-03-13 22:19:30+00:00,"Montrose, CO",474,576,305177,http://pbs.twimg.com/profile_images/2997360544/729f1f0d859207c7651cda3c6e4185e7_normal.jpeg,,
537,3017077250,PalangJay,jay palang,2015-02-12 06:59:48+00:00,,66,154,32760,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
1139,727061382537990144,indulgexpress,indulgexpress,2016-05-02 09:05:16+00:00,"Chennai, India",2100,535,16157,http://pbs.twimg.com/profile_images/1257698026434355203/-BrPPaDS_normal.jpg,https://pbs.twimg.com/profile_banners/727061382537990144/1515407552,
1140,39743812,EconomicTimes,Economic Times,2009-05-13 12:54:58+00:00,,3896985,44,508008,http://pbs.twimg.com/profile_images/1285571205966073857/rE3KyZFW_normal.jpg,https://pbs.twimg.com/profile_banners/39743812/1616805843,
1187,112276214,age_fotostock,agefotostock,2010-02-07 22:11:53+00:00,Barcelona-Madrid-NYC-Paris,2245,1829,6153,http://pbs.twimg.com/profile_images/491851532531286016/O4bD7XmW_normal.png,https://pbs.twimg.com/profile_banners/112276214/1406102929,
1197,2278802768,stylevoguette,stylevoguette,2014-01-06 08:53:16+00:00,"Amsterdam, Nederland",210,10,12629,http://pbs.twimg.com/profile_images/1167744073840713730/Zwd2YTYW_normal.jpg,https://pbs.twimg.com/profile_banners/2278802768/1567246858,
1270,833612154,APEntertainment,AP Entertainment,2012-09-19 15:53:14+00:00,,174703,1257,47433,http://pbs.twimg.com/profile_images/2627323149/jsve6poh0o7smaiaj3uo_normal.png,https://pbs.twimg.com/profile_banners/833612154/1618327351,
1290,900906557386268672,LeThanh41893565,Le Thanh Ha,2017-08-25 02:23:56+00:00,,1,2,210,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
1308,3101729741,shalexsignature,Adekitan Omosalewa,2015-03-21 12:27:03+00:00,"Ibadan, Nigeria",331,519,51628,http://pbs.twimg.com/profile_images/1315774291749801987/W3Ty7sGV_normal.jpg,https://pbs.twimg.com/profile_banners/3101729741/1602540015,
1323,989577347991916545,noidakenalayak,Noida Ke Nalayak,2018-04-26 18:50:00+00:00,"Noida, India",11,272,2146,http://pbs.twimg.com/profile_images/989580431061217280/Zqj4mMUa_normal.jpg,,
1847,1689033336,AngelaEdgmon,Angela Edgmon,2013-08-21 19:36:08+00:00,,2,14,7,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
2020,1372272469,IQShowbiz,INQUISITR Entertainment,2013-04-22 14:25:41+00:00,,11412,2122,128461,http://pbs.twimg.com/profile_images/958914974293905414/-CmZv3jL_normal.jpg,https://pbs.twimg.com/profile_banners/1372272469/1518390030,
2024,349699022,Miki_Trent,Miguel Ángel,2011-08-06 15:02:20+00:00,Temuco,1681,455,43717,http://pbs.twimg.com/profile_images/1365470614509781005/zOOWEWHN_normal.jpg,https://pbs.twimg.com/profile_banners/349699022/1434371116,
2030,626260850,HQMirror,HQ-Mirror,2012-07-04 07:48:41+00:00,,600,627,10317,http://pbs.twimg.com/profile_images/378800000148712912/b08c36ab1af5d5f73ee038b4695f52e3_normal.png,https://pbs.twimg.com/profile_banners/626260850/1492269951,
2097,635106803,spiceofi,Indian Spice,2012-07-14 04:35:35+00:00,South Africa,2072,692,49228,http://pbs.twimg.com/profile_images/775226564275494912/f0H-77Cr_normal.jpg,,
2105,977964662300999681,KickeyBrand01,KickeyBrand,2018-03-25 17:45:20+00:00,"Dallas, TX",173,1151,6394,http://pbs.twimg.com/profile_images/981258705302884355/10Q3WecA_normal.jpg,https://pbs.twimg.com/profile_banners/977964662300999681/1522785765,
2128,20123224,Wonderwall,Wonderwall,2009-02-05 06:03:05+00:00,USA,71690,1907,60106,http://pbs.twimg.com/profile_images/672193730837798912/6srya_Xr_normal.jpg,https://pbs.twimg.com/profile_banners/20123224/1449099560,
2142,1341081,Caterinadiiorgi,Caterina Di Iorgi,2007-03-17 07:54:03+00:00,Milan,4817,1726,106923,http://pbs.twimg.com/profile_images/460794223155900420/auErSTM2_normal.jpeg,https://pbs.twimg.com/profile_banners/1341081/1402299109,
2145,350753376,Toparic_Music1,TopAfric Music Video,2011-08-08 07:58:37+00:00,germany,117,309,17767,http://pbs.twimg.com/profile_images/1064953108453879808/b85FNKkf_normal.jpg,https://pbs.twimg.com/profile_banners/350753376/1542739689,
2162,539662685,ElleMCo,Michelle C,2012-03-29 04:38:27+00:00,United States,98,55,14027,http://pbs.twimg.com/profile_images/1150222048704237571/qh21WW77_normal.jpg,https://pbs.twimg.com/profile_banners/539662685/1588051660,
2285,2902715992,AssholeMovies,A. Movies,2014-12-02 18:48:13+00:00,"Ottawa, Ontario",5571,4475,19092,http://pbs.twimg.com/profile_images/713144134379433984/RKBmknnY_normal.jpg,https://pbs.twimg.com/profile_banners/2902715992/1458861809,
2290,1094012821887541248,blacksentineluk,blacksentinel,2019-02-08 23:19:17+00:00,,1038,1208,2786,http://pbs.twimg.com/profile_images/1162340384753770496/I6K_VXGJ_normal.jpg,https://pbs.twimg.com/profile_banners/1094012821887541248/1565906780,
