,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
348,822966841123500033,rejean_bergeron,Rejean Bergeron,2017-01-22 00:39:19+00:00,,5,52,1,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
681,1054890021847789568,anarpearl,gerdo,2018-10-24 00:19:14+00:00,*☆•°*○♡,78,96,23992,http://pbs.twimg.com/profile_images/1370331042117267459/lpTZD22m_normal.jpg,https://pbs.twimg.com/profile_banners/1054890021847789568/1547569302,
894,1159209411430309888,rachaangelina,♠️Racha♟Diaries♣️,2019-08-07 21:07:15+00:00,,73,222,577,http://pbs.twimg.com/profile_images/1323368222163230721/MZsftCsJ_normal.png,https://pbs.twimg.com/profile_banners/1159209411430309888/1593203419,
3195,1272447238896103424,RahulRa57031472,Rahul Raj AR,2020-06-15 08:34:13+00:00,"Kerala, India",16,54,12,http://pbs.twimg.com/profile_images/1272450980219482112/ClXR1eoi_normal.jpg,https://pbs.twimg.com/profile_banners/1272447238896103424/1594126182,
3352,1273283982600241153,Foreverinaday42,🧬+♥️+🌌 =42,2020-06-17 15:59:02+00:00,Hard to find a place I belong,8,166,753,http://pbs.twimg.com/profile_images/1356974342257606658/w5rimC72_normal.jpg,https://pbs.twimg.com/profile_banners/1273283982600241153/1612592751,
3703,2940031339,HARJGTWO,HARJGTWO,2014-12-22 21:32:53+00:00,AARTH,350,1127,16530,http://pbs.twimg.com/profile_images/763225696088956928/ga1yRcpw_normal.jpg,https://pbs.twimg.com/profile_banners/2940031339/1544660088,
3926,22945545,CineMovie,CineMovie TV,2009-03-05 17:12:24+00:00,"Hollywood, CA",7998,4768,27467,http://pbs.twimg.com/profile_images/580247921314045954/TG-Dk_mU_normal.png,https://pbs.twimg.com/profile_banners/22945545/1611698063,
22024,543035094,JoeyMirco,Joey Mirco,2012-04-01 23:56:35+00:00,"Buffalo, NY",618,573,13486,http://pbs.twimg.com/profile_images/898402890036858880/k8Io2A_6_normal.jpg,https://pbs.twimg.com/profile_banners/543035094/1504576262,
22038,3276038329,stefcarolinaa,𝚜 𝚝 𝚎 𝚏 🦂,2015-07-11 13:35:21+00:00,,298,250,8976,http://pbs.twimg.com/profile_images/1376689116901896196/aQlw5KdI_normal.jpg,https://pbs.twimg.com/profile_banners/3276038329/1599520338,
25735,4148147354,abbygnz,aввy❁,2015-11-06 17:10:56+00:00,"Houston, TX ",231,182,14520,http://pbs.twimg.com/profile_images/1375488652562812928/2MOf4W-I_normal.jpg,https://pbs.twimg.com/profile_banners/4148147354/1578728001,
25795,293768205,TomFlowers,Tom Flowers 🎧,2011-05-05 23:09:58+00:00,"Neptune Beach, Florida, USA",37570,41336,556571,http://pbs.twimg.com/profile_images/1281771778629566464/HaRZJ1kT_normal.jpg,https://pbs.twimg.com/profile_banners/293768205/1579180443,
27379,1566992467,latenecent,tika,2013-07-04 00:22:13+00:00,504,400,363,8876,http://pbs.twimg.com/profile_images/1373842042166648833/G_EIbnAB_normal.jpg,https://pbs.twimg.com/profile_banners/1566992467/1546513281,
38727,795847327697158144,_xjsg,j 🇸🇻,2016-11-08 04:36:03+00:00,if it aint xo then it gotta go,225,214,10366,http://pbs.twimg.com/profile_images/1337593607260278784/P_HCeexW_normal.jpg,https://pbs.twimg.com/profile_banners/795847327697158144/1606336444,
44740,1277663875320684544,444ROSIE,beka,2020-06-29 18:03:12+00:00,she/her | 18,26,81,1500,http://pbs.twimg.com/profile_images/1368283063369744386/CPVYG6sG_normal.jpg,https://pbs.twimg.com/profile_banners/1277663875320684544/1604491787,
46388,93197147,_Myersgirl,𝔎𝔞𝔱𝔥🦇,2009-11-28 14:53:05+00:00,ᴰʳᵃᶜᵘˡᵃˢ ᶜᵃˢᵗˡᵉ,796,296,93118,http://pbs.twimg.com/profile_images/1371168082111176704/gg-emw1y_normal.jpg,https://pbs.twimg.com/profile_banners/93197147/1607819138,
77529,367937144,T3MP3STT,BROWNSUGA,2011-09-04 20:19:42+00:00,"NEW ORLEANS, LOUISIANA",115,1217,33079,http://pbs.twimg.com/profile_images/378800000791712708/d9e497743b27d6ed0ba586a236a2ef9a_normal.jpeg,,
77747,726827455420452866,PeacePilgrim00,Janibeth Johnson,2016-05-01 17:35:44+00:00,,89,18,29077,http://pbs.twimg.com/profile_images/888492929416822784/EPsj8HYA_normal.jpg,https://pbs.twimg.com/profile_banners/726827455420452866/1500003947,
