,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
3,348662026,ChacemeSwain,JaycemeSwain,2011-08-04 20:02:13+00:00,South Africa,705,3372,35479,http://pbs.twimg.com/profile_images/1125026049870442497/SL2cNpsz_normal.png,https://pbs.twimg.com/profile_banners/348662026/1600776696,
92,79837756,JamesReinhardt,James Reinhardt,2009-10-04 21:45:21+00:00,"Pittsburgh, PA",536,1411,38226,http://pbs.twimg.com/profile_images/915313271556755456/_R0plReA_normal.jpg,https://pbs.twimg.com/profile_banners/79837756/1603855745,
132,63994761,tonicmole,TonicMole,2009-08-08 16:29:56+00:00,At Home,808,724,23438,http://pbs.twimg.com/profile_images/1056374080855793664/rX9_pqgb_normal.jpg,https://pbs.twimg.com/profile_banners/63994761/1539670390,
162,154112003,JimmyJazzEsq,웃immy 웃azz,2010-06-10 11:52:37+00:00,Ben the scullery ,1433,1526,141884,http://pbs.twimg.com/profile_images/1350594663955238913/7iNJSkTZ_normal.jpg,https://pbs.twimg.com/profile_banners/154112003/1619272937,
222,837909790462455808,RosalindMosis,Rosalind Mosis,2017-03-04 06:17:16+00:00,"England, United Kingdom",598,530,67062,http://pbs.twimg.com/profile_images/1190365698763177985/211hlHIY_normal.jpg,https://pbs.twimg.com/profile_banners/837909790462455808/1495142386,
429,970189770205757440,holster77773333,Holly Smith,2018-03-04 06:50:41+00:00,,1,120,69,http://pbs.twimg.com/profile_images/1005891310136381441/uQ6qt24x_normal.jpg,,
460,168789687,nick0time,George Elizabeth Floyd II,2010-07-20 20:19:02+00:00,,348,0,75793,http://pbs.twimg.com/profile_images/1349342033480011776/tNVw9TnS_normal.jpg,https://pbs.twimg.com/profile_banners/168789687/1475740614,
543,911274100181651462,deactiv172737,pinned,2017-09-22 17:00:51+00:00,dhqz || they / them ,79,80,10452,http://pbs.twimg.com/profile_images/1025893273498529797/LzgjvMVj_normal.jpg,https://pbs.twimg.com/profile_banners/911274100181651462/1533426992,
702,2804368202,DeviantBehavir,DeviantBehaviour,2014-09-11 21:31:55+00:00,"Chicago, IL",155,184,29464,http://pbs.twimg.com/profile_images/1307299832248389633/b5mMKE7P_normal.jpg,https://pbs.twimg.com/profile_banners/2804368202/1599200177,
728,2465079218,reineyelah,h/a/l/e/y,2014-04-26 20:16:57+00:00,on the battlefield,1866,223,36870,http://pbs.twimg.com/profile_images/1385290587839115264/prvevOaE_normal.jpg,https://pbs.twimg.com/profile_banners/2465079218/1613534430,
