,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
441,201807679,flyernewspaper,FLYERNewspaper,2010-10-12 17:26:13+00:00,London Central,1229,2639,7894,http://pbs.twimg.com/profile_images/947314454097793024/tA8hE0bh_normal.jpg,https://pbs.twimg.com/profile_banners/201807679/1522019793,
514,1001460734189031424,defumat,Malas Defumat,2018-05-29 13:50:20+00:00,,19,903,5944,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
746,54369972,Kirsty_Brimelow,Kirsty Brimelow QC,2009-07-06 23:18:09+00:00,"London, England",16967,2985,22732,http://pbs.twimg.com/profile_images/1267755975739674624/my_Qez7r_normal.jpg,https://pbs.twimg.com/profile_banners/54369972/1456440231,
895,117856309,MyArkLaMiss,KTVE - KARD,2010-02-26 21:06:24+00:00,"West Monroe, La",7793,713,57364,http://pbs.twimg.com/profile_images/986287002126434304/WzmzZlif_normal.jpg,https://pbs.twimg.com/profile_banners/117856309/1536764672,
952,3095107056,TheCaveMugsboro,Dave,2015-03-18 05:33:24+00:00,Mugsborough (UK),7727,2922,59716,http://pbs.twimg.com/profile_images/1379401284965523457/Y5RmORYA_normal.jpg,https://pbs.twimg.com/profile_banners/3095107056/1617872268,
957,92364596,blissfulfiction,claire.,2009-11-24 21:01:44+00:00,scotland,4739,1096,122119,http://pbs.twimg.com/profile_images/1345462378469720067/nXBr8zql_normal.jpg,https://pbs.twimg.com/profile_banners/92364596/1557945447,
1456,952911386874646530,AndrewSmithClub,Andrew Smith,2018-01-15 14:32:33+00:00,,616,726,25499,http://pbs.twimg.com/profile_images/1356454710769823744/ajhWc5IU_normal.jpg,https://pbs.twimg.com/profile_banners/952911386874646530/1612710959,
1617,715921784,Recipes52Net,Recipes52,2012-07-25 11:31:45+00:00,India,473,993,46664,http://pbs.twimg.com/profile_images/1300327551479414784/vNbRFSrh_normal.jpg,https://pbs.twimg.com/profile_banners/715921784/1598683241,
1768,506391097,KLBKNews,KLBK News,2012-02-27 20:56:18+00:00,"Lubbock, Texas",11266,230,68691,http://pbs.twimg.com/profile_images/1094385638663643137/XMYchC8k_normal.jpg,https://pbs.twimg.com/profile_banners/506391097/1549756872,
2068,960129987998244865,PeoplesDailyapp,People's Daily app,2018-02-04 12:36:42+00:00,"北京, 中华人民共和国",1798,109,17956,http://pbs.twimg.com/profile_images/965441843386228741/ZtBbwrU3_normal.jpg,https://pbs.twimg.com/profile_banners/960129987998244865/1571209577,
2139,2838003227,IAmJohnMirra,John Mirra,2014-10-20 11:36:13+00:00,Prison formerly known as: UK,103,301,2383,http://pbs.twimg.com/profile_images/524162677661126656/VQLruClO_normal.png,,
2141,1172162305649336320,SunnyKu88280451,Sunny Kumar,2019-09-12 14:57:37+00:00,,1,0,17753,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
2362,20580319,GHRNewsNW,Greatest Hits Radio News North West,2009-02-11 09:23:01+00:00,"North West, England",20523,3355,64817,http://pbs.twimg.com/profile_images/1266617204621049858/SAz-F6wT_normal.jpg,https://pbs.twimg.com/profile_banners/20580319/1590820204,
2365,1063283396036710400,GHRnewsUK,Greatest Hits Radio News,2018-11-16 04:11:31+00:00,United Kingdom,689,873,7655,http://pbs.twimg.com/profile_images/1134085619192406016/SIBDQA6g_normal.jpg,https://pbs.twimg.com/profile_banners/1063283396036710400/1559222058,
2431,1259228364,ByronCalloway1,Byron Calloway,2013-03-11 11:34:21+00:00,,2501,2482,17540,http://pbs.twimg.com/profile_images/3366287541/7621be2cc35aa31a82f58d7c6262176e_normal.jpeg,https://pbs.twimg.com/profile_banners/1259228364/1493677253,
2930,158708439,AllieHBNews,Allie Hodgkins-Brown,2010-06-23 11:40:02+00:00,"London, England",36976,4263,45019,http://pbs.twimg.com/profile_images/1372499460530565123/ibWnGkw5_normal.jpg,https://pbs.twimg.com/profile_banners/158708439/1608666949,
3039,159418155,RockFMNews,Rock FM News,2010-06-25 09:23:17+00:00,Lancashire,6800,1072,34098,http://pbs.twimg.com/profile_images/1255849327500627972/8gO_OFtP_normal.jpg,https://pbs.twimg.com/profile_banners/159418155/1420457218,
3040,23182245,CFMRadioNews,CFM Radio News,2009-03-07 10:12:59+00:00,"Carlisle, England",5980,720,23031,http://pbs.twimg.com/profile_images/879250457633411072/sgJLvszv_normal.jpg,https://pbs.twimg.com/profile_banners/23182245/1420458228,
3058,17348525,StarTribune,Star Tribune,2008-11-12 20:55:38+00:00,"Minneapolis, MN",392414,774,197325,http://pbs.twimg.com/profile_images/427289765734404096/Ip4UAv5q_normal.jpeg,https://pbs.twimg.com/profile_banners/17348525/1515856312,
3475,1922999682,ArvindHickman,Arvind Hickman,2013-10-01 10:36:52+00:00,,5935,1431,17158,http://pbs.twimg.com/profile_images/1277940986010898434/wlbxDg0B_normal.jpg,https://pbs.twimg.com/profile_banners/1922999682/1568319595,
3498,46231952,DrMichaelGibbs,BritishYank,2009-06-10 21:32:21+00:00,"Beverly Hills, Ca 90210",252,322,8519,http://pbs.twimg.com/profile_images/970699030291472385/ETq_k8w2_normal.jpg,https://pbs.twimg.com/profile_banners/46231952/1520267830,
3502,2296297326,UKMoments,Twitter Moments UK & Ireland,2014-01-17 15:28:22+00:00,"London, England",66321,13,65993,http://pbs.twimg.com/profile_images/1354502734121029633/aN0srwV__normal.jpg,https://pbs.twimg.com/profile_banners/2296297326/1611794129,
3559,63516513,washtimesherald,WTH Newsroom,2009-08-06 19:29:54+00:00,"Washington, IN",1513,116,19664,http://pbs.twimg.com/profile_images/638374389885501441/vxfpoTpJ_normal.jpg,https://pbs.twimg.com/profile_banners/63516513/1394824401,
3691,9907172,NECN,NECN,2007-11-03 04:29:27+00:00,Boston,99668,315,256128,http://pbs.twimg.com/profile_images/1219410060390158336/KIVbq_jG_normal.jpg,https://pbs.twimg.com/profile_banners/9907172/1579553908,
3951,1222839386695401473,juliarobinson_1,Julia ♡,2020-01-30 11:10:12+00:00,United Kingdom,112,190,1546,http://pbs.twimg.com/profile_images/1380077257029517316/eyz0Rcgg_normal.jpg,https://pbs.twimg.com/profile_banners/1222839386695401473/1617910093,
4179,607215012,CummingTim,Tim Cumming,2012-06-13 11:36:10+00:00,London (mostly),732,731,2992,http://pbs.twimg.com/profile_images/2595720794/kfym4990eytggygo4fh4_normal.jpeg,https://pbs.twimg.com/profile_banners/607215012/1488193152,
4215,814819352662790145,CGTNEurope,CGTN Europe,2016-12-30 13:04:07+00:00,Europe,10751,154,11841,http://pbs.twimg.com/profile_images/1173942340165218304/2vcQdGvV_normal.jpg,https://pbs.twimg.com/profile_banners/814819352662790145/1615923117,
4327,21276421,BrrrLaStrange,How Dark Is The Baby?,2009-02-19 04:41:29+00:00,Mars,227,341,45791,http://pbs.twimg.com/profile_images/1304806850190217216/vcvhU32S_normal.jpg,https://pbs.twimg.com/profile_banners/21276421/1603596937,
4455,2247798150,PinkSheepNews,Jhawn Paul,2013-12-15 21:48:19+00:00,"Collinsport, Maine",676,532,170477,http://pbs.twimg.com/profile_images/599698716115755009/QBdrJprg_normal.jpg,https://pbs.twimg.com/profile_banners/2247798150/1387145032,
4484,114977912,KonsumeHQ,Konsume News,2010-02-17 06:10:53+00:00,"Los Angeles, CA",54,150,1180,http://pbs.twimg.com/profile_images/1228206334719381505/0kPd5BdN_normal.jpg,https://pbs.twimg.com/profile_banners/114977912/1581651853,
4513,18472450,SantaMariaTimes,Santa Maria Times,2008-12-30 07:12:07+00:00,"Santa Maria, California",6633,852,63542,http://pbs.twimg.com/profile_images/69092772/Ship_only_logo_normal.jpg,https://pbs.twimg.com/profile_banners/18472450/1374282172,
4542,152060321,LompocRecord,Lompoc Record,2010-06-05 00:07:27+00:00,"Lompoc, Ca",1775,201,34394,http://pbs.twimg.com/profile_images/960568412/LompocRecordLogo_normal.png,https://pbs.twimg.com/profile_banners/152060321/1489428953,
5040,31488410,BleedingMarine,Bleeding Heart Liberal Marine,2009-04-15 19:14:09+00:00,L.A. ,42910,17026,27514,http://pbs.twimg.com/profile_images/1356438200156262402/8NkMwGFG_normal.jpg,https://pbs.twimg.com/profile_banners/31488410/1617323589,
5293,908850480150757376,empath_folklore,💛💛,2017-09-16 00:30:14+00:00,Woodvale,842,804,7033,http://pbs.twimg.com/profile_images/1380385785254305792/eUVcrA26_normal.jpg,https://pbs.twimg.com/profile_banners/908850480150757376/1611996125,
5341,212641904,puremagicman,Josh Jarvis,2010-11-06 16:56:31+00:00,Earth,117,953,4573,http://pbs.twimg.com/profile_images/2712385616/9951cf9bedbfccc2747c04151305199e_normal.jpeg,https://pbs.twimg.com/profile_banners/212641904/1435694770,
6321,17401160,robertsharp59,Robert Sharp रोबर्ट शार्प,2008-11-15 03:25:05+00:00,London,1875,1422,33401,http://pbs.twimg.com/profile_images/688815848648261633/dny66X5-_normal.png,https://pbs.twimg.com/profile_banners/17401160/1370616130,
6388,2803733928,ElmerPalaceSE25,Richard Norman Poet,2014-09-11 14:20:42+00:00,"Brighton, England",2473,3610,25450,http://pbs.twimg.com/profile_images/846709045675347970/ysUssucS_normal.jpg,https://pbs.twimg.com/profile_banners/2803733928/1455788772,
6690,21777547,fidz72,Matt Fidler,2009-02-24 18:06:48+00:00,London,2797,1171,4440,http://pbs.twimg.com/profile_images/874207778704957446/tPCgphKE_normal.jpg,https://pbs.twimg.com/profile_banners/21777547/1354787205,
7225,49317590,Kappa_Kappa,your own personal jesus,2009-06-21 13:47:27+00:00,,32845,412,32873,http://pbs.twimg.com/profile_images/1301395431507722240/jFGVndJr_normal.jpg,https://pbs.twimg.com/profile_banners/49317590/1599103081,
7328,149727883,Fred_Avalos,Fred Avalos 🇺🇸,2010-05-30 02:22:43+00:00,"El Paso, TX",313,277,20613,http://pbs.twimg.com/profile_images/1219060542435942400/Gzvs6XI0_normal.jpg,https://pbs.twimg.com/profile_banners/149727883/1589194528,
7651,606471981,PhotoInfoNews,PhotoInfoNews,2012-06-12 15:12:38+00:00,,112,1,44952,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
8533,71208292,anadoluimages,Anadolu Images,2009-09-03 08:46:04+00:00,Turkey,21648,57,46230,http://pbs.twimg.com/profile_images/1210465032754126848/pGsdJA-I_normal.jpg,https://pbs.twimg.com/profile_banners/71208292/1545744971,
8894,17497090,OnTheRedCarpet,On The Red Carpet,2008-11-19 22:02:13+00:00,"Los Angeles, CA",58536,1759,47265,http://pbs.twimg.com/profile_images/1216779147046838272/vhJxWb4B_normal.jpg,https://pbs.twimg.com/profile_banners/17497090/1521046246,
11239,1284966928520491008,deadaccount4r,Проф. Др Миливоје Ватрогасац,2020-07-19 21:42:58+00:00,,0,1,1,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
11301,60113538,theTrutherknows,jerrym7,2009-07-25 18:13:31+00:00,"Brownwood, TX",44,145,1646,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
11971,830298186749140992,boozzoman,boozzoman,2017-02-11 06:11:28+00:00,,16504,11276,18502,http://pbs.twimg.com/profile_images/978269360727900160/JhH72qJ__normal.jpg,https://pbs.twimg.com/profile_banners/830298186749140992/1523183584,
13385,1263560882757537792,iminthegheto1,iminthegheto,2020-05-21 20:03:51+00:00,,0,3,8,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
13583,824552909413240832,danny_w1998,DanW18,2017-01-26 09:41:47+00:00,"Carterton, England",99,257,2198,http://pbs.twimg.com/profile_images/1375138474186145798/N7mc5dSI_normal.jpg,https://pbs.twimg.com/profile_banners/824552909413240832/1616693536,
15177,1145736755380805633,ronan68977484,Ronan Ja,2019-07-01 16:51:44+00:00,,1163,1493,125667,http://pbs.twimg.com/profile_images/1356158406717923332/y34vflkV_normal.jpg,https://pbs.twimg.com/profile_banners/1145736755380805633/1599801065,
15904,3950967532,grubbstarVA,Glamorganshire Consort,2015-10-13 23:55:51+00:00,RVA,851,277,15405,http://pbs.twimg.com/profile_images/1357235383805878274/ncStLIlJ_normal.jpg,https://pbs.twimg.com/profile_banners/3950967532/1613187386,
16365,32580622,invsblemonster,Jessssaa ♡,2009-04-17 20:59:00+00:00,,515,199,10757,http://pbs.twimg.com/profile_images/1373839025681825797/i3Hzpy6v_normal.jpg,https://pbs.twimg.com/profile_banners/32580622/1614549686,
16484,947630797716099072,kamsikudu,SMOOTH CRIMINAL XX👽,2018-01-01 00:49:23+00:00,hotel diablo,1038,2462,4123,http://pbs.twimg.com/profile_images/1356875342791790592/pwFBr95q_normal.jpg,https://pbs.twimg.com/profile_banners/947630797716099072/1613068323,
16734,4383539753,HelenAnn16,Helen Ann,2015-12-05 13:48:46+00:00,"Virginia, USA",1357,2109,168724,http://pbs.twimg.com/profile_images/676828297460772864/vd20A5h0_normal.jpg,https://pbs.twimg.com/profile_banners/4383539753/1497289236,
16872,29537326,K7LP,Karen L Petrie - CraZi Cat Co Studio🐾,2009-04-07 20:33:38+00:00,UK,89,251,621,http://pbs.twimg.com/profile_images/968632600431652865/g6BMsaOt_normal.jpg,https://pbs.twimg.com/profile_banners/29537326/1519774987,
17382,119035627,veronicablak,Veronica Black,2010-03-02 13:33:38+00:00,,128,802,3311,http://pbs.twimg.com/profile_images/703381188107325440/mYrhqCMv_normal.jpg,,
17750,1100832053753462787,jackieh92891725,jackie hancock,2019-02-27 18:56:28+00:00,,27,72,79,http://pbs.twimg.com/profile_images/1287620756051042310/PCUhZLdp_normal.jpg,https://pbs.twimg.com/profile_banners/1100832053753462787/1595827686,
17751,1272531265846042627,CoreyMacleod3,Kletus Maccinereney,2020-06-15 14:08:05+00:00,,0,7,16,http://pbs.twimg.com/profile_images/1285887857417056257/P8LtQlIa_normal.jpg,https://pbs.twimg.com/profile_banners/1272531265846042627/1592230395,
18008,1170750704,asanjanarahi,Anjana Rahi,2013-02-12 03:16:19+00:00,"New Delhi, India",1648,603,21733,http://pbs.twimg.com/profile_images/749538093766586370/iJsWRVeJ_normal.jpg,,
18045,1243534682387513346,BonesBasilisk,Jasper Gotha,2020-03-27 13:46:01+00:00,,6,63,139,http://pbs.twimg.com/profile_images/1377719942422917120/-drBpNB-_normal.jpg,https://pbs.twimg.com/profile_banners/1243534682387513346/1593126860,
18211,339361783,trek_7,Treky,2011-07-21 00:17:55+00:00,,410,1319,14866,http://pbs.twimg.com/profile_images/1322942056012996609/L-gyvIWZ_normal.jpg,https://pbs.twimg.com/profile_banners/339361783/1609670484,
18415,56470183,6NewsCTX,KCENNews,2009-07-13 19:38:28+00:00,Central Texas,43688,779,112365,http://pbs.twimg.com/profile_images/1377370724164309000/YJ8CjQCP_normal.jpg,https://pbs.twimg.com/profile_banners/56470183/1617828523,
18921,872912474,crisleann2002,tina miller,2012-10-11 03:10:13+00:00,"Indiana, USA",7,146,259,http://pbs.twimg.com/profile_images/1288825805968232448/deot-6cm_normal.jpg,https://pbs.twimg.com/profile_banners/872912474/1596114993,
19089,23862566,DebD417,Deb D,2009-03-12 00:42:04+00:00,Tennessee,117,369,5043,http://pbs.twimg.com/profile_images/634034322018693120/73yDuQ-d_normal.jpg,,
19491,2736135302,JosephCornforth,Joseph Cornforth,2014-08-16 01:36:02+00:00,,309,204,8607,http://pbs.twimg.com/profile_images/1284777541685915649/28JyLWSL_normal.jpg,https://pbs.twimg.com/profile_banners/2736135302/1610114868,
20635,1453900506,zed_cull,Zed,2013-05-24 11:10:15+00:00,,35,250,10888,http://pbs.twimg.com/profile_images/698547480514826242/EWq9DtW4_normal.jpg,,
20865,1248368532,5WhyAU,5Why,2013-03-07 10:00:45+00:00,Australia,275,102,1243,http://pbs.twimg.com/profile_images/788539133496922113/XVc9RS2Y_normal.jpg,https://pbs.twimg.com/profile_banners/1248368532/1591061979,
20918,114699983,IrelandAMVMTV,Ireland AM,2010-02-16 09:41:42+00:00,"Ballymount, Dublin.",70272,2547,52062,http://pbs.twimg.com/profile_images/1035043031538434048/iYHCGwhx_normal.jpg,https://pbs.twimg.com/profile_banners/114699983/1617193546,
21005,377641359,Mrkalman,Kevin Goheen,2011-09-21 22:01:14+00:00,,401,5,520541,http://pbs.twimg.com/profile_images/454400642878935040/JopIcKlB_normal.jpeg,https://pbs.twimg.com/profile_banners/377641359/1398267820,
21252,177226293,TelfotoABZ761,Terence  Farquharson,2010-08-11 15:50:17+00:00,Scotland ABZ / EDI,2249,1881,37567,http://pbs.twimg.com/profile_images/1125530910034681858/cWmE8J2S_normal.jpg,https://pbs.twimg.com/profile_banners/177226293/1557182610,
21405,20629645,CNYCentral,CNYCentral,2009-02-11 21:24:27+00:00,Central New York,83578,990,131355,http://pbs.twimg.com/profile_images/789479012875796481/lr2e5e5G_normal.jpg,https://pbs.twimg.com/profile_banners/20629645/1548805931,
21474,32834951,t2soon,iain mcbride,2009-04-18 08:44:10+00:00,,109,740,10767,http://pbs.twimg.com/profile_images/499080003082932224/TP3FZn_k_normal.jpeg,https://pbs.twimg.com/profile_banners/32834951/1355070492,
21696,914079864579387392,jennife67062750,jennifer stewart,2017-09-30 10:49:57+00:00,non-of-your beesknees,1,106,36,http://pbs.twimg.com/profile_images/914098409405075456/k1jBLy0o_normal.jpg,,
22003,34099741,librlstereotype,Hartwell,2009-04-21 23:59:38+00:00,,113,296,19318,http://pbs.twimg.com/profile_images/1379161918590627840/YDv8P4K9_normal.jpg,https://pbs.twimg.com/profile_banners/34099741/1614459764,
