,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
1443,117963649,SRoit,Pinky Swear Press 📔,2010-02-27 05:07:19+00:00,Engaged to Panda,901,180,106348,http://pbs.twimg.com/profile_images/1336132453602189312/iw1tZ8dB_normal.jpg,https://pbs.twimg.com/profile_banners/117963649/1611977331,
1791,2752385852,corvxd,corvxd,2014-08-21 15:37:35+00:00,,26,80,759,http://pbs.twimg.com/profile_images/1294077368915693568/rWMpAeaq_normal.jpg,https://pbs.twimg.com/profile_banners/2752385852/1603857006,
1983,1325466090,Oceanumregem,ᴀʀᴛʜᴜʀ ᴄᴜʀʀʏ,2013-04-03 21:31:06+00:00,,296,169,133,http://pbs.twimg.com/profile_images/1356775451251920907/_F71cKav_normal.jpg,https://pbs.twimg.com/profile_banners/1325466090/1612322562,
2012,1102204444119363584,morbidcherry,Lita,2019-03-03 13:49:52+00:00,"London, England",82,191,1956,http://pbs.twimg.com/profile_images/1379151398252781569/0m4a4Lnv_normal.jpg,https://pbs.twimg.com/profile_banners/1102204444119363584/1615744543,
2034,2819882936,Big_Blonde_05,Big_Blonde_05,2014-09-19 12:03:44+00:00,,387,568,11231,http://pbs.twimg.com/profile_images/1325281046833860609/GQV46hEX_normal.jpg,https://pbs.twimg.com/profile_banners/2819882936/1612748845,
2253,1304842645446033408,JessicaisaFae,✨ She Who Lives In Her Name ✨,2020-09-12 18:01:55+00:00,United States,841,540,10275,http://pbs.twimg.com/profile_images/1384295712695877651/hfnjayT-_normal.jpg,https://pbs.twimg.com/profile_banners/1304842645446033408/1614367743,
2358,863013339722641408,j4lkai,Zhuldyz,2017-05-12 12:49:48+00:00,,60,59,1154,http://pbs.twimg.com/profile_images/1345785662792994816/c5elkHOf_normal.jpg,https://pbs.twimg.com/profile_banners/863013339722641408/1494594016,
2834,1179032699966775297,EruditeElf,WanderingRN,2019-10-01 13:58:17+00:00,On The Road Again....,1062,1325,31843,http://pbs.twimg.com/profile_images/1356742128215486479/QgD_d7QL_normal.jpg,https://pbs.twimg.com/profile_banners/1179032699966775297/1608050125,
2920,1281713900313075713,KristGrape,Krist❗,2020-07-10 22:17:01+00:00,,64,48,682,http://pbs.twimg.com/profile_images/1356103111337775104/dykLp6iw_normal.jpg,https://pbs.twimg.com/profile_banners/1281713900313075713/1600688515,
5996,900884694,DJSlayerRelic,DJ Slayer Relic,2012-10-24 00:50:13+00:00,,298,737,36523,http://pbs.twimg.com/profile_images/1385665401565155331/pJf1gZRb_normal.jpg,https://pbs.twimg.com/profile_banners/900884694/1613479303,
6394,2334399554,corpsemaggot666,inSIDious🎭,2014-02-09 02:30:45+00:00,she/her ,74,186,1116,http://pbs.twimg.com/profile_images/1382475421434867716/cZVLWbrU_normal.jpg,https://pbs.twimg.com/profile_banners/2334399554/1617824712,
7912,568615411,SashasStreams,Sasha's Streams,2012-05-01 23:08:32+00:00,,23,31,489,http://pbs.twimg.com/profile_images/845090419125870592/SqdOqKmM_normal.jpg,,
8819,2234418034,Omogebisi,Adebisi Ogunsanya,2013-12-20 08:52:15+00:00,"Lagos, Nigeria",1150,1067,6695,http://pbs.twimg.com/profile_images/1371869167339638787/XU--9mYW_normal.jpg,https://pbs.twimg.com/profile_banners/2234418034/1610549362,
8830,947425428360196096,fShowerThoughts,Shower Thoughts,2017-12-31 11:13:19+00:00,,2018,1573,55331,http://pbs.twimg.com/profile_images/947438248116346880/ovtdC4p0_normal.jpg,https://pbs.twimg.com/profile_banners/947425428360196096/1516995538,
9288,934846577386106880,2GhostsDolan,rav.,2017-11-26 18:09:27+00:00,choke me pimple • 17,2095,1686,47618,http://pbs.twimg.com/profile_images/1384117618655711245/VvRzk9V1_normal.jpg,https://pbs.twimg.com/profile_banners/934846577386106880/1618834329,
9404,1214236244655276032,firelordchi,danté⚡️,2020-01-06 17:24:41+00:00,"Asaba, Nigeria",81,201,1396,http://pbs.twimg.com/profile_images/1349847680248406016/90x5W6P4_normal.jpg,https://pbs.twimg.com/profile_banners/1214236244655276032/1617475180,
10263,936539171614629888,rockstarbts,Earthka⁷ 👽🏒🧈,2017-12-01 10:15:13+00:00,With BTS Pets,892,456,52930,http://pbs.twimg.com/profile_images/1386979396133613568/ly6_azzq_normal.jpg,https://pbs.twimg.com/profile_banners/936539171614629888/1618072132,
10461,801628224497287169,TaquitaBlah,haley dunphys girlfriend (real) 🌸🌈 ᛤ ⎈,2016-11-24 03:27:17+00:00,she/her ,400,966,89106,http://pbs.twimg.com/profile_images/1354329658590900225/79EGn1b0_normal.jpg,https://pbs.twimg.com/profile_banners/801628224497287169/1610695755,
10489,1213950794703048704,Michael45056332,BlackEagleman000,2020-01-05 22:30:30+00:00,,18,278,1730,http://pbs.twimg.com/profile_images/1357592444108378114/1oZbTvjQ_normal.jpg,https://pbs.twimg.com/profile_banners/1213950794703048704/1595024951,
11060,815380728565243904,DSpiegel219,DJ,2017-01-01 02:14:49+00:00,"Norwich, NY",133,2419,4228,http://pbs.twimg.com/profile_images/1263052822037348352/ScSTIZrZ_normal.jpg,https://pbs.twimg.com/profile_banners/815380728565243904/1587228924,
11161,1118219384072417280,FF_DylanV,Dylan V,2019-04-16 18:27:31+00:00,,101,309,1515,http://pbs.twimg.com/profile_images/1363573679016321027/8a7rQXo7_normal.jpg,,
11688,1265763553912467459,crucifiction6,dangerous,2020-05-27 21:55:30+00:00,"Kyoto City, Kyoto",35,84,458,http://pbs.twimg.com/profile_images/1358865353510703109/e8ERuDas_normal.jpg,https://pbs.twimg.com/profile_banners/1265763553912467459/1595529383,
11951,2832061957,AmeliaBujar,Amelia Bujar,2014-09-25 16:18:57+00:00,,16,189,984,http://pbs.twimg.com/profile_images/1334899366574907395/wsW8WbL4_normal.jpg,https://pbs.twimg.com/profile_banners/2832061957/1607099786,
12728,18933762,SNEAKPEEKCA,SneakPeek,2009-01-13 09:22:32+00:00,Editor: Jane Doberman,82,107,115145,http://pbs.twimg.com/profile_images/1076877919807430656/kze5kiGE_normal.jpg,https://pbs.twimg.com/profile_banners/18933762/1495728649,
13324,1304590543322845185,marisaonfilm,marisa ♡,2020-09-12 01:20:04+00:00,16 | she/her | BLM,2055,1634,27149,http://pbs.twimg.com/profile_images/1386464231491608584/vz83Sm0w_normal.jpg,https://pbs.twimg.com/profile_banners/1304590543322845185/1619397989,
13445,594110391,isitbacarditime,JustaLupie 💙🇬🇧🤪,2012-05-29 20:53:27+00:00,United Kingdom,57,368,3833,http://pbs.twimg.com/profile_images/1306272216036839424/0Q4sHo2t_normal.jpg,https://pbs.twimg.com/profile_banners/594110391/1600279626,
13623,1281692700794855427,NumberThirtySi1,NumberThirtySix,2020-07-10 20:52:20+00:00,,21,205,825,http://pbs.twimg.com/profile_images/1313645660407844864/Qq4wPoxe_normal.jpg,https://pbs.twimg.com/profile_banners/1281692700794855427/1602032557,
14470,1303503819767242752,camila39694974,camila,2020-09-09 01:21:53+00:00,,83,118,1938,http://pbs.twimg.com/profile_images/1367306449429422081/nNGY-Z-z_normal.jpg,https://pbs.twimg.com/profile_banners/1303503819767242752/1599841556,
14605,808287103452844032,johnnysvampires,Depp Vampire👑,2016-12-12 12:27:17+00:00,,2595,184,8948,http://pbs.twimg.com/profile_images/1368196684845621248/COMyTboH_normal.jpg,https://pbs.twimg.com/profile_banners/808287103452844032/1612197301,
14619,108921102,bitteroldqueen,Dennis Pratt,2010-01-27 12:24:04+00:00,"London, Europe",161,237,7961,http://pbs.twimg.com/profile_images/1334574473283067909/dtOyT5fu_normal.jpg,https://pbs.twimg.com/profile_banners/108921102/1593706083,
14783,374655032,LibertyCourier,JVA,2011-09-16 17:57:49+00:00,,77,95,464,http://pbs.twimg.com/profile_images/1549325847/lc_samurai_normal.png,https://pbs.twimg.com/profile_banners/374655032/1456956890,
14810,2870906639,ethicalfoodlove,The Ethics of Living 🌱 🌎,2014-11-10 17:52:20+00:00,United States,265,426,1672,http://pbs.twimg.com/profile_images/876470137557090305/V8ONsHzK_normal.jpg,https://pbs.twimg.com/profile_banners/2870906639/1497801881,
14890,1113538914600484864,ARussell0201,Andrew Russell,2019-04-03 20:29:00+00:00,,23,185,399,http://pbs.twimg.com/profile_images/1349661260095356928/1hDSaBDZ_normal.jpg,,
15136,3147828179,DeanWichestiel,Dean Winchester,2015-04-08 12:52:29+00:00,Home with Cas.,522,397,42087,http://pbs.twimg.com/profile_images/813746421493039105/41ZeaAAD_normal.jpg,https://pbs.twimg.com/profile_banners/3147828179/1456337802,
15144,856061742534864897,a_kass,|Нахик|,2017-04-23 08:26:39+00:00,в глубине своих глубин,80,227,4576,http://pbs.twimg.com/profile_images/1185449693624623104/Qcc26bWy_normal.jpg,https://pbs.twimg.com/profile_banners/856061742534864897/1588789673,
15245,1176954899789168640,Iamathogwarts,Lina 🦋,2019-09-25 20:21:42+00:00,Morioh Cho Radio ,24,52,730,http://pbs.twimg.com/profile_images/1357109676794662912/EWDJOll__normal.jpg,https://pbs.twimg.com/profile_banners/1176954899789168640/1617567566,
15410,1205752007400792064,lilyall92430813,lilyallen,2019-12-14 07:31:08+00:00,,6,27,203,http://pbs.twimg.com/profile_images/1205752192084389888/BD4A_6eK_normal.jpg,,
16985,1050523101790920704,Voodie2,Voodoo_doll waldman,2018-10-11 23:06:40+00:00,Islamic Republic of Iran,315,446,22073,http://pbs.twimg.com/profile_images/1323324433822408704/awzZrzsA_normal.png,https://pbs.twimg.com/profile_banners/1050523101790920704/1594483063,
17152,1274468868577165313,FriccAs,Thicc As Fricc,2020-06-20 22:27:25+00:00,,6,32,96,http://pbs.twimg.com/profile_images/1274469241496965120/q-hEgt5p_normal.jpg,,
17975,138888774,B_Dub3,Ben W #AOTD #ZLM✊,2010-04-30 22:51:36+00:00,,1215,231,33314,http://pbs.twimg.com/profile_images/1377813184099196928/aVNP8Ems_normal.jpg,https://pbs.twimg.com/profile_banners/138888774/1618329845,
18807,1055394327596195845,EllisBelle1,Ellis Belle,2018-10-25 09:43:10+00:00,At home,197,708,25140,http://pbs.twimg.com/profile_images/1379182351226269701/Sxx8wYi5_normal.jpg,https://pbs.twimg.com/profile_banners/1055394327596195845/1618387626,
18855,945534497512071168,AdeelsDeal,Adam,2017-12-26 05:59:26+00:00,"Edmonton, Alberta",64,1328,2829,http://pbs.twimg.com/profile_images/980250461218287616/I7oosh3I_normal.jpg,https://pbs.twimg.com/profile_banners/945534497512071168/1522544896,
19097,901055621650423809,GeekFreakBoutiq,🇺🇸 Geek Freak 🇨🇦,2017-08-25 12:16:15+00:00,,2586,3123,17664,http://pbs.twimg.com/profile_images/1308795907295641600/G3cTX8Ss_normal.jpg,https://pbs.twimg.com/profile_banners/901055621650423809/1600876236,
19560,1277590833005563904,bunn_juliet,juli,2020-06-29 13:12:59+00:00,ᕱ⑅ᕱ ,120,192,1682,http://pbs.twimg.com/profile_images/1379400132437938177/ALO16QRd_normal.jpg,https://pbs.twimg.com/profile_banners/1277590833005563904/1612735507,
19856,1057799910878310400,entrerizosdcoco,Pao,2018-11-01 01:02:06+00:00,"Yabucoa, Puerto Rico",1284,526,25771,http://pbs.twimg.com/profile_images/1379453725828337664/uOp9vAte_normal.jpg,https://pbs.twimg.com/profile_banners/1057799910878310400/1610462892,
21185,1073680733649068032,DullGiraffe,Joseph,2018-12-14 20:46:49+00:00,He/Him,21,106,968,http://pbs.twimg.com/profile_images/1363586129442742272/LWGppxVb_normal.jpg,https://pbs.twimg.com/profile_banners/1073680733649068032/1611963548,
21427,19721238,NargleInAFez,I need Nikolai Lantsov!!!,2009-01-29 17:19:11+00:00,"Tardis,Hogwarts & Cabeswater",1452,3098,246766,http://pbs.twimg.com/profile_images/1360144470897881088/rZDv_8mH_normal.jpg,https://pbs.twimg.com/profile_banners/19721238/1398235501,
21648,1196997154193264640,Kuroodior,Mimi💗,2019-11-20 03:42:24+00:00,Black+she/they+16,1221,1624,36998,http://pbs.twimg.com/profile_images/1375142178444435459/23xUGWjG_normal.jpg,https://pbs.twimg.com/profile_banners/1196997154193264640/1616482824,
21652,1031286515706593282,itsrorysworld,🍒,2018-08-19 21:07:20+00:00,,272,362,4191,http://pbs.twimg.com/profile_images/1371666762291408899/l5YWJU35_normal.jpg,https://pbs.twimg.com/profile_banners/1031286515706593282/1613231838,
21896,1325903585796878336,nondumcorrupta,𝐂𝐚𝐫𝐨𝐥,2020-11-09 20:50:29+00:00,Coast City,304,254,1062,http://pbs.twimg.com/profile_images/1375909308009959424/zlbqxNeu_normal.jpg,https://pbs.twimg.com/profile_banners/1325903585796878336/1611711207,
21995,25184049,helentmay,Helen T. May,2009-03-18 23:30:54+00:00,Indiana,26,123,859,http://pbs.twimg.com/profile_images/1383929442334953482/uXIcgn1c_normal.jpg,https://pbs.twimg.com/profile_banners/25184049/1618789593,
22190,2241493268,I__Barnabas,"I, Barnabas #WearAMask",2013-12-11 23:13:26+00:00,Married to @weepingvictoria,1202,894,13197,http://pbs.twimg.com/profile_images/1331643000427044865/vhFKh5Cy_normal.jpg,https://pbs.twimg.com/profile_banners/2241493268/1610162238,
22332,411373661,laurawaters5,laura,2011-11-13 10:04:57+00:00,,207,235,7544,http://pbs.twimg.com/profile_images/975495389108428800/oZQTiDF3_normal.jpg,https://pbs.twimg.com/profile_banners/411373661/1388794434,
22339,1334307205265436674,leannejwalker02,Leanne Jay,2020-12-03 01:23:58+00:00,,6,33,211,http://pbs.twimg.com/profile_images/1334307631327010816/Ih4uD32F_normal.jpg,https://pbs.twimg.com/profile_banners/1334307205265436674/1606958921,
22455,1216073394116079617,AngelDepp88,🏴‍☠️ Angel Depp 🏴‍☠️,2020-01-11 19:04:50+00:00,,150,106,16686,http://pbs.twimg.com/profile_images/1323669913047724032/ULYycrPr_normal.png,https://pbs.twimg.com/profile_banners/1216073394116079617/1582699785,
22670,497128660,Yoli_Que,💅Yolanda💅,2012-02-19 17:09:27+00:00,On cloud nine ♥,926,583,41864,http://pbs.twimg.com/profile_images/1384875880275644416/-q_BZMpR_normal.jpg,https://pbs.twimg.com/profile_banners/497128660/1618778188,
23236,101542195,faranha_m,faranha,2010-01-03 18:35:57+00:00,My head in the clouds,616,691,22229,http://pbs.twimg.com/profile_images/1312522859198189573/RUnBsjOq_normal.jpg,https://pbs.twimg.com/profile_banners/101542195/1601764812,
23423,1324213109557469185,StabGirl,Asexual.Bitch,2020-11-05 04:53:39+00:00,,8,48,78,http://pbs.twimg.com/profile_images/1377476843109019652/SyoxXzG6_normal.jpg,https://pbs.twimg.com/profile_banners/1324213109557469185/1612452749,
23662,932310261737951233,tralalalumbum,tralala,2017-11-19 18:11:02+00:00,,1917,146,27190,http://pbs.twimg.com/profile_images/1102518397559074816/RCm8inMu_normal.png,https://pbs.twimg.com/profile_banners/932310261737951233/1557753373,
