,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
51,829402693949075457,jessicasnow379,Jessica Snow,2017-02-08 18:53:06+00:00,,4,130,71,http://pbs.twimg.com/profile_images/1107855097508315136/rnV_EL3K_normal.jpg,https://pbs.twimg.com/profile_banners/829402693949075457/1552968490,
168,1020777217800966145,Amethyst_siMP,MP / Amethyst,2018-07-21 21:07:08+00:00,The Crystal Temple,532,234,45314,http://pbs.twimg.com/profile_images/1509719767627845635/NFUSowNa_normal.jpg,https://pbs.twimg.com/profile_banners/1020777217800966145/1635769573,
355,1277002170919866368,ArshHingorani,LightningArsh,2020-06-27 22:13:50+00:00,,5,16,73,http://pbs.twimg.com/profile_images/1345605498897252356/jLGCpr28_normal.jpg,,
768,1865633659,joey_seybert,Joey,2013-09-15 00:49:24+00:00,"California, USA",128,193,1604,http://pbs.twimg.com/profile_images/1500331961054756864/qEsO26Y7_normal.jpg,https://pbs.twimg.com/profile_banners/1865633659/1650049084,
783,1205923242990538753,almightyDIGGY,it’s Golden Brown! 💉,2019-12-14 18:51:29+00:00,The only superman in the area,335,870,14233,http://pbs.twimg.com/profile_images/1502314100583546881/4NnFLRuW_normal.jpg,https://pbs.twimg.com/profile_banners/1205923242990538753/1650911840,
1017,24364018,SamanthaRae43,Sam🏁,2009-03-14 12:56:02+00:00,Wisconsin ,1965,965,171771,http://pbs.twimg.com/profile_images/1513211687108808711/QEzMWQVG_normal.jpg,https://pbs.twimg.com/profile_banners/24364018/1650140539,
1407,1268168767269474304,chdajaba6,Chdajaba6,2020-06-03 13:13:00+00:00,,10,97,527,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
1470,3065762493,heardverse,carol,2015-03-01 20:14:47+00:00,Brasil,3051,96,32852,http://pbs.twimg.com/profile_images/1438347905304256512/kQoJOMWs_normal.jpg,https://pbs.twimg.com/profile_banners/3065762493/1635741885,
1675,1348511520200781826,Babe86069868,Babe,2021-01-11 06:06:29+00:00,New England..,1917,2635,2415,http://pbs.twimg.com/profile_images/1417935618869444608/OZsr1pYt_normal.jpg,https://pbs.twimg.com/profile_banners/1348511520200781826/1612464228,
2056,358511645,levinez,gabriela 🧸,2011-08-20 01:43:29+00:00,Brasil,1385,439,133237,http://pbs.twimg.com/profile_images/1516216678119612418/2QLpgkMi_normal.png,https://pbs.twimg.com/profile_banners/358511645/1650332485,
2368,1302749567537106946,vicmaneskin20,tessa,2020-09-06 23:24:51+00:00,,562,906,1353,http://pbs.twimg.com/profile_images/1414246591733633025/ZW8k8GVg_normal.jpg,https://pbs.twimg.com/profile_banners/1302749567537106946/1625684724,
2403,932020233304289280,IantosWolf,Iantos,2017-11-18 22:58:34+00:00,"Melbourne, Australia",387,403,31895,http://pbs.twimg.com/profile_images/1175323807646539776/MYtwtvQ2_normal.jpg,https://pbs.twimg.com/profile_banners/932020233304289280/1635884250,
2469,1338372419950620672,Kcajton,𝕵𝖆𝖈𝖐,2020-12-14 06:38:45+00:00,20,1152,307,4269,http://pbs.twimg.com/profile_images/1507062705580134409/QQY_qxB9_normal.jpg,https://pbs.twimg.com/profile_banners/1338372419950620672/1621958718,
2568,416311593,WaNgigeh,BreadWinnersAssociate,2011-11-19 14:21:43+00:00,Zamunda,744,989,18020,http://pbs.twimg.com/profile_images/1501106238158954496/_xpjR8hT_normal.jpg,https://pbs.twimg.com/profile_banners/416311593/1649636235,
2574,964011537110315008,mywaytoisengard,helen,2018-02-15 05:40:35+00:00,,2024,1886,60689,http://pbs.twimg.com/profile_images/1432572401682952194/4IGSjsvx_normal.png,https://pbs.twimg.com/profile_banners/964011537110315008/1630386852,
2783,797130792342265856,MariahKinghorn,Mariah,2016-11-11 17:36:05+00:00,"Maine, USA",77,289,1255,http://pbs.twimg.com/profile_images/1462603264088813568/eUUB4MXv_normal.jpg,https://pbs.twimg.com/profile_banners/797130792342265856/1637546767,
3707,2311000321,MrNamelessOne,The Mad Shogun Aaron Alexander,2014-01-26 01:37:30+00:00,Somewhere around Chicago,635,578,74264,http://pbs.twimg.com/profile_images/841859563930411008/k_ltPDm__normal.jpg,https://pbs.twimg.com/profile_banners/2311000321/1625055907,
3802,932128428,summerinmoon,misty mauve,2012-11-07 14:08:22+00:00,forever and always,2945,276,450861,http://pbs.twimg.com/profile_images/1502315410963976192/k3Xh-wc5_normal.jpg,https://pbs.twimg.com/profile_banners/932128428/1651082611,
