,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
174262,1027539405593104384,Tinku_103,Tinku,2018-08-09 12:57:39+00:00,"Emilia Romagna, Italy",23,37,1008,http://pbs.twimg.com/profile_images/1488111915461083140/8XwrCJgf_normal.jpg,https://pbs.twimg.com/profile_banners/1027539405593104384/1633942045,
249247,1466022637692461058,MayankM40040295,Vikram pandit,2021-12-01 12:33:59+00:00,India,20,77,2066,http://pbs.twimg.com/profile_images/1507055814468460547/i_JUpvn7_normal.jpg,https://pbs.twimg.com/profile_banners/1466022637692461058/1638362390,
249652,1284082266256232449,Shubhra18634689,Shubhra,2020-07-17 11:07:43+00:00,India,358,73,1603,http://pbs.twimg.com/profile_images/1510538585358802944/AaAX4YoJ_normal.jpg,https://pbs.twimg.com/profile_banners/1284082266256232449/1649811443,
254088,1387802197656698880,rishabh96123,Rishabh,2021-04-29 16:13:35+00:00,,17,29,1625,http://pbs.twimg.com/profile_images/1415546865966190593/dh-0JkOC_normal.jpg,,
258242,1054108827979673600,SauravR84036272,Saurav,2018-10-21 20:35:03+00:00,"Bhagalpur, India",11,53,15,http://pbs.twimg.com/profile_images/1284500685363372032/4ZZ0y0-5_normal.jpg,https://pbs.twimg.com/profile_banners/1054108827979673600/1591287492,
259374,1356654582500184064,Mang45013348,Mang,2021-02-02 17:24:07+00:00,,3,112,69,http://pbs.twimg.com/profile_images/1476929123368853523/bPSIpSgy_normal.jpg,,
263193,1502375319004942336,Vaibhav7754,Vaibhav Verma,2022-03-11 20:06:14+00:00,,2,37,31,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
263757,1061603955111653376,PrapulGowda9,Ram,2018-11-11 12:58:01+00:00,,7,111,144,http://pbs.twimg.com/profile_images/1229467098461523968/OTK-Y2E7_normal.jpg,https://pbs.twimg.com/profile_banners/1061603955111653376/1581962842,
264837,126425004,saurabhdahiya,Saurabh Dahiya,2010-03-25 20:55:46+00:00,"Kolkata, India",41,117,868,http://pbs.twimg.com/profile_images/1357553320668221441/w1S_ISmf_normal.jpg,,
271500,2841951824,vishi_insane,Vishal Wankhede,2014-10-06 04:00:01+00:00,"Pune, Maharashtra",215,404,420,http://pbs.twimg.com/profile_images/1519670415022772229/KG-8YiDp_normal.jpg,https://pbs.twimg.com/profile_banners/2841951824/1609657955,
271686,1131481366023946241,Sachiin_rjput,Sachin🥲,2019-05-23 08:45:54+00:00,"Chandigarh, India",163,331,572,http://pbs.twimg.com/profile_images/1487089146435108864/e3fF0OIN_normal.jpg,https://pbs.twimg.com/profile_banners/1131481366023946241/1643384705,
308628,1313885463090921472,devapriyar2,boraboraVbora⁷,2020-10-07 16:54:59+00:00,,36,257,9398,http://pbs.twimg.com/profile_images/1511061721615855618/q4CCJsSU_normal.jpg,https://pbs.twimg.com/profile_banners/1313885463090921472/1639229100,
